nonaccredited_cnt,investment_cnt,accredited_sum,facility_cnt,meal_cnt,research_rank,nonaccredited_rank,speaking_sum,education_cnt,honoraria_cnt,grant_rank,consulting_rank,grant_sum,honoraria_rank,investment_rank,general_rank,meal_rank,royalty_rank,travel_sum,grant_cnt,royalty_cnt,investment_sum,honoraria_sum,id,facility_sum,entertainment_rank,entertainment_sum,gift_cnt,travel_cnt,drugname,charitable_sum,accredited_cnt,desc,speaking_rank,research_sum,travel_rank,charitable_cnt,categories,meal_sum,speaking_cnt,gift_sum,accredited_rank,royalty_sum,general_cnt,class,consulting_cnt,education_rank,research_cnt,total_sum,nonaccredited_sum,total_count,education_sum,companies,gift_rank,entertainment_cnt,url,general_sum,consulting_sum,charitable_rank,facility_rank
,,,10,8195,196,,429537,80,,,42,,,,84,118,4,136763,,1,,,8713,9000,,,,218,RITUXAN,,,"Treats rheumatoid arthritis (RA), Wegener granulomatosis, and microscopic polyangiitis (MPA). Also treats cancer, including lymphoma and leukemia.",81,739558,63,,{},159753,233,,,8044086,8824,Antineoplastic Agent,88,112,130,1063702,,8824,5666,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012019/?report=details,1063702,322982,,57
,,,10,8195,196,,429537,80,,,42,,,,84,118,4,136763,,1,,,8713,9000,,,,218,RITUXAN,,,"Treats rheumatoid arthritis (RA), Wegener granulomatosis, and microscopic polyangiitis (MPA). Also treats cancer, including lymphoma and leukemia.",81,739558,63,,{},159753,233,,,8044086,8824,Immunological Agent,88,112,130,1063702,,8824,5666,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012019/?report=details,1063702,322982,,57
,,,10,199,15,,63825,3,,,73,,,,231,494,,30495,,,,,7356,10925,,,,100,KALYDECO,,,Treats cystic fibrosis (CF).,214,9432014,234,,{},10036,22,,,,427,Respiratory Agent,93,327,410,322571,,427,85,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010810/?report=details,322571,207204,,47
,,,10,3454,17,,462970,,,,275,,,,137,223,,67262,,,,,6572,10650,,,,256,ERBITUX,,,"Treats cancer, including head, neck, and colorectal cancer.",76,8452380,127,,{},74249,236,,,,3993,Antineoplastic Agent,37,,171,646966,,3993,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009539/?report=details,646966,31835,,48
,,,97,107807,105,,3685375,3511,,,36,,,,7,1,,313712,,,,,9819,87599,,,,1105,XARELTO,,,"Treats and prevents blood clots, which lowers the risk of stroke, deep vein thrombosis (DVT), pulmonary embolism (PE), and similar conditions. This medicine is a blood thinner.",8,1764247,22,,{},2223876,1756,,,,114507,Anticoagulant,231,5,517,6929838,,114507,214768,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012021/?report=details,6929838,404506,,3
,,,,9256,19,,15776,2,,,17,,,,81,82,,62695,,,,,9544,,,,,367,ULORIC,,,Used to treat hyperuricemia (high uric acid in the blood) in patients with gout. This medicine is a xanthine oxidase inhibitor.,307,7530466,133,,{},215009,334,,,,12263,Antigout,2304,322,2488,1086404,,12263,93,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010267/?report=details,1086404,792828,,
,,,25,81669,136,,3748665,7640,,,13,,,,5,3,,403553,,,,,7276,23650,,,,1529,INVOKANA,,,Treats type 2 diabetes.,7,1265690,11,,{},1748714,1931,,,,93159,Endocrine-Metabolic Agent,365,3,181,7159649,,93159,326817,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0015540/?report=details,7159649,908249,,21
,,,25,81669,136,,3748665,7640,,,13,,,,5,3,,403553,,,,,7276,23650,,,,1529,INVOKANA,,,Treats type 2 diabetes.,7,1265690,11,,{},1748714,1931,,,,93159,Hypoglycemic,365,3,181,7159649,,93159,326817,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0015540/?report=details,7159649,908249,,21
,,,51,63243,307,,5790253,154,1,,44,,140,,3,4,,421067,,,,52,6422,38872,,,,2184,ELIQUIS,,,Treats and prevents blood clots. This medicine is a blood thinner.,1,223424,9,,{},1422980,3092,,,,68895,Anticoagulant,170,175,14,7994789,,68895,1398,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0014570/?report=details,7994789,320164,,7
,,,5,30310,37,,2285530,457,,,598,,,,22,20,,152835,,,,,5716,2575,,,,989,BYDUREON,,,Treats type 2 diabetes.,14,4627603,51,,{},787431,1581,,,,33344,Antidiabetic,2,152,232,3232403,,33344,1991,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010244/?report=details,3232403,2040,,104
,,,5,49085,20,,375854,482,,,186,,,,73,22,,30207,,,,,8033,7400,,,,152,ONGLYZA,,,Treats high blood sugar levels in patients with type 2 diabetes. Used together with diet and exercise to control blood sugar levels.,93,6634941,236,,{},731796,248,,,,50016,Antidiabetic,44,141,255,1203520,,50016,2860,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012084/?report=details,1203520,55403,,64
1,,,,1764,18,86,,,,,594,,,,626,380,,152,,,,,8759,,,,,2,SAPHRIS,,,Treats schizophrenia and bipolar disorder.,,7743793,656,,{},22994,,,,,1773,Antipsychotic,6,,2355,25552,105,1773,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009117/?report=details,25552,2300,,
,,,3,5771,60,,589429,9,,,28,,,,66,150,7,123170,,5,,,5132,2700,,,,218,ACTEMRA,,,Treats moderate to severe rheumatoid arthritis. Also treats polyarticular juvenile idiopathic arthritis (PJIA) and systemic juvenile idiopathic arthritis (SJIA).,54,3041110,70,,{},119816,375,,,3412178,6508,Antirheumatic,132,245,553,1313562,,6508,333,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012454/?report=details,1313562,478113,,102
,,,3,5771,60,,589429,9,,,28,,,,66,150,7,123170,,5,,,5132,2700,,,,218,ACTEMRA,,,Treats moderate to severe rheumatoid arthritis. Also treats polyarticular juvenile idiopathic arthritis (PJIA) and systemic juvenile idiopathic arthritis (SJIA).,54,3041110,70,,{},119816,375,,,3412178,6508,Immunological Agent,132,245,553,1313562,,6508,333,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012454/?report=details,1313562,478113,,102
,,,,66136,89,,3920500,2228,,39,298,5908,,,10,13,,231967,14,,,,6143,,,,,1857,DALIRESP,500,,Used to prevent the symptoms (flare-ups) of chronic obstructive pulmonary disease (COPD) from getting worse.,6,2228298,31,2,{},992210,2983,,,,73227,Respiratory Agent,7,54,537,5203871,,73227,25760,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012030/?report=details,5203871,27025,14,
,,,,17249,31,,1415300,,,57,543,2249,,,44,61,,148857,4,,,,7801,,,,,1267,NAMENDA XR,5250,,Treats dementia associated with Alzheimer disease.,20,5115255,56,21,{},297040,1108,,,,19652,Central Nervous System Agent,3,,572,1872480,,19652,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011075/?report=details,1872480,3784,8,
,,,2,1943,21,,183760,242,,7,173,104580,,,191,295,,27241,6,,,,9818,500,,,,94,XALKORI,,,Treats non-small cell lung cancer (NSCLC).,144,6278724,250,,{},45183,86,,,,2395,Antineoplastic Agent,22,126,371,426705,,2395,4235,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009752/?report=details,426705,61206,,153
60,,,,61,23,18,,4,,,,,,,271,676,,92652,,,,,9303,,,,,99,TEMODAR,,,Treats brain cancer.,,5991087,111,,{},1777,,,,,224,Antineoplastic Agent,,309,91,234820,140280,224,110,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012323/?report=details,234820,,,
,,,,55,22,,,11,,,209,,,,510,649,,7011,,,,,6656,,,,,42,FARXIGA,,,Treats type 2 diabetes.,,6158330,439,,{},2297,,,,,127,Antidiabetic,19,280,225,54859,,127,176,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0021959/?report=details,54859,45374,,
,,,55,8660,30,,692184,4,,,114,,,,88,129,,59577,,,,,9832,17151,,,,220,XGEVA,,,"Treats osteoporosis, bone cancer, and bone-related problems in patients who have cancer.",47,5137889,145,,{},142013,334,,,,9299,Immunological Agent,26,319,5040,1021756,,9299,96,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009849/?report=details,1021756,110733,,32
,,,,30591,39,,859844,73,,64,82,750,,,48,30,,118803,1,,,,7415,,,,,511,LANTUS,,,,41,4355044,78,,{},572637,553,,,,31802,Antidiabetic,73,111,3844,1738808,,31802,6005,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010730/?report=details,1738808,180768,,
,,,,30591,39,,859844,73,,64,82,750,,,48,30,,118803,1,,,,7415,,,,,511,LANTUS,,,,41,4355044,78,,{},572637,553,,,,31802,Insulin,73,111,3844,1738808,,31802,6005,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010730/?report=details,1738808,180768,,
,,,,30591,39,,859844,73,,64,82,750,,,48,30,,118803,1,,,,7415,,,,,511,LANTUS,,,,41,4355044,78,,{},572637,553,,,,31802,Long Acting,73,111,3844,1738808,,31802,6005,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010730/?report=details,1738808,180768,,
,,,25,8258,34,,478796,160,,,45,,,,74,92,39,180697,,1,,,9860,35600,,,1,333,XTANDI,,,Treats metastatic prostate cancer.,72,4805036,40,,{},184385,239,22,,10000,9091,Antiandrogen,75,184,1120,1199543,,9091,1144,{},49,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0014329/?report=details,1199543,318897,,11
,,,25,8258,34,,478796,160,,,45,,,,74,92,39,180697,,1,,,9860,35600,,,1,333,XTANDI,,,Treats metastatic prostate cancer.,72,4805036,40,,{},184385,239,22,,10000,9091,Antineoplastic Agent,75,184,1120,1199543,,9091,1144,{},49,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0014329/?report=details,1199543,318897,,11
2,,,1,8227,181,72,380276,7,,,150,,,,114,88,6,138266,,2,,,9844,500,,,,245,XOLAIR,,,Treats asthma and chronic idiopathic urticaria.,89,826851,59,,{},195539,207,,,4295897,8734,Antiasthma,45,218,295,793547,6920,8734,612,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011491/?report=details,793547,71432,,155
2,,,1,8227,181,72,380276,7,,,150,,,,114,88,6,138266,,2,,,9844,500,,,,245,XOLAIR,,,Treats asthma and chronic idiopathic urticaria.,89,826851,59,,{},195539,207,,,4295897,8734,Immunological Agent,45,218,295,793547,6920,8734,612,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011491/?report=details,793547,71432,,155
,,,4,5146,29,,288880,30,,,99,,,,146,168,,59804,,,,,8075,9200,,,,284,ORENCIA,,,Treats moderate to severe rheumatoid arthritis (RA) in adults and moderate to severe juvenile idiopathic arthritis in children 6 years of age or older.,113,5316835,144,,{},105613,137,,,,5678,Antirheumatic,77,297,212,597551,,5678,129,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0008771/?report=details,597551,133924,,55
,,,4,5146,29,,288880,30,,,99,,,,146,168,,59804,,,,,8075,9200,,,,284,ORENCIA,,,Treats moderate to severe rheumatoid arthritis (RA) in adults and moderate to severe juvenile idiopathic arthritis in children 6 years of age or older.,113,5316835,144,,{},105613,137,,,,5678,Immune Modulator,77,297,212,597551,,5678,129,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0008771/?report=details,597551,133924,,55
,,,5,43094,176,,461,326,,29,2,10500,,,11,32,,665062,2,,,,5091,3500,,,,12929,ABILIFY MAINTENA,,,"Treats schizophrenia, and agitation from schizophrenia or bipolar disorder.",436,880500,4,,{},560405,4,,,,59066,Antipsychotic,2706,130,85,4997513,,59066,3919,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009102/?report=details,4997513,3753664,,93
,,,2,10779,26,,19600,45,,,271,,,,314,152,,6651,,,,,5886,437,,,,19,CHANTIX,,,"Helps you quit smoking, as part of a support program.",295,5539256,447,,{},118994,16,,,,10872,Smoking Cessation Agent,11,265,383,178121,,10872,230,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012611/?report=details,178121,32207,,158
,,,,6256,36,,449595,55,,,94,,,,99,113,,164059,,,,,8696,,,,,464,REVLIMID,,,"Treats myelodysplastic syndrome (MDS). Also treats cancer, including multiple myeloma (plasma cell cancer) and mantle cell lymphoma (MCL).",78,4760033,46,,{},170948,223,,,,7116,Immune Modulator,118,229,696,927395,,7116,497,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010883/?report=details,927395,142295,,
,,,1,29376,178,,87511,10703,,19,4,24500,,,12,21,,478203,2,,,,5089,300,,,,2334,ABILIFY,,,"Treats schizophrenia, bipolar disorder, and depression. Also treats irritability associated with autism.",197,874402,7,,{},780047,22,,,,44172,Antipsychotic,1734,1,5,4770102,,44172,703032,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009101/?report=details,4770102,2696508,,159
,,,1,8002,38,,470750,1623,,,68,,,,79,95,,86936,,,,,9105,10000,,,,276,STELARA,,,Treats plaque psoriasis and psoriatic arthritis.,73,4495309,113,,{},182002,250,,,,10227,Immunological Agent,75,15,347,1104795,,10227,137157,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012581/?report=details,1104795,217949,,51
312,,,16,3288,32,8,,4,,,230,,,,148,189,,33510,,,,,7148,22850,,,,109,INCIVEK,,,"Treats hepatitis C. Used together with peginterferon alfa (Pegasys®, Pegintron®) and ribavirin (Copegus®, Rebetol®).",,5012548,222,,{},93007,,,,,3742,Antiviral,13,323,175,586463,396200,3742,92,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012307/?report=details,586463,40803,,22
,,,10,1823,33,,252395,44,,,287,,,,197,302,,75678,,,,,6927,11250,,,,173,HALAVEN,,,Treats breast cancer that has already spread. Used in patients who have already received at least two types of cancer medicines.,123,4880696,120,,{},42043,79,,,,2147,Antineoplastic Agent,18,133,2081,414598,,2147,3491,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010147/?report=details,414598,29740,,45
,,,,57985,248,,3338425,4467,,49,148,3916,,,13,15,,230228,4,,,,7493,,,,,1772,LINZESS,14750,,Treats irritable bowel syndrome with constipation (IBS-C) and chronic idiopathic constipation (CIC).,9,388398,32,59,{},923132,2564,,,,66873,Gastrointestinal Agent,22,92,172,4593006,,66873,10516,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0014340/?report=details,4593006,72037,6,
,,,,4218,56,,287676,39,,,142,,,,154,184,16,110103,,6,,,8306,,,,,142,PERJETA,,,,115,3412984,89,,{},94241,125,,,1096785,4563,Antineoplastic Agent,39,148,226,572528,,4563,2381,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011687/?report=details,572528,78124,,
,,,,4218,56,,287676,39,,,142,,,,154,184,16,110103,,6,,,8306,,,,,142,PERJETA,,,,115,3412984,89,,{},94241,125,,,1096785,4563,Monoclonal Antibody,39,148,226,572528,,4563,2381,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011687/?report=details,572528,78124,,
,,,40,48644,46,,152000,566,,,178,,,,90,24,,98043,,,,,7942,30100,,,,288,NOVOLOG,,,Treats diabetes.,155,3945735,96,,{},653584,62,,,,49619,Antidiabetic,19,68,548,1009663,,49619,17285,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010726/?report=details,1009663,58650,,15
,,,,56078,126,,2057038,80,,20,91,19000,,,20,14,,324059,4,,,,9233,,,,,1189,SYMBICORT,,,Treats asthma and chronic obstructive pulmonary disease (COPD). This medicine contains a corticosteroid.,16,1401118,20,,{},942830,1250,,,,58654,Antiasthma,53,219,169,3497556,,58654,597,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009342/?report=details,3497556,154030,,
,,,,56078,126,,2057038,80,,20,91,19000,,,20,14,,324059,4,,,,9233,,,,,1189,SYMBICORT,,,Treats asthma and chronic obstructive pulmonary disease (COPD). This medicine contains a corticosteroid.,16,1401118,20,,{},942830,1250,,,,58654,Anti-Inflammatory/Bronchodilator Combination,53,219,169,3497556,,58654,597,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009342/?report=details,3497556,154030,,
,,,,56078,126,,2057038,80,,20,91,19000,,,20,14,,324059,4,,,,9233,,,,,1189,SYMBICORT,,,Treats asthma and chronic obstructive pulmonary disease (COPD). This medicine contains a corticosteroid.,16,1401118,20,,{},942830,1250,,,,58654,Respiratory Agent,53,219,169,3497556,,58654,597,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009342/?report=details,3497556,154030,,
,,,,16188,45,,13,1200,,,32,,,,107,54,,76810,,,,,7525,,,,,380,LUMIGAN,105,,The eyedrops reduce pressure inside the eye. The eyelash solution helps eyelashes grow.,452,3951083,118,1,{},336523,5,,,,17956,Antiglaucoma,182,77,691,872647,,17956,14161,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009292/?report=details,872647,445032,18,
,,,,16188,45,,13,1200,,,32,,,,107,54,,76810,,,,,7525,,,,,380,LUMIGAN,105,,The eyedrops reduce pressure inside the eye. The eyelash solution helps eyelashes grow.,452,3951083,118,1,{},336523,5,,,,17956,Ophthalmologic Agent,182,77,691,872647,,17956,14161,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009292/?report=details,872647,445032,18,
,,,11,3080,53,,535356,54,,,62,,,,82,175,,178852,,,,,7399,13500,,,,662,KYPROLIS,,,Treats multiple myeloma.,61,3553933,41,,{},101193,365,,,,4341,Antineoplastic Agent,169,201,80,1082137,,4341,819,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0014320/?report=details,1082137,252415,,39
,,,7,15930,91,,1317529,117,2,,47,,82,,28,52,,197714,,,,10414,6451,7200,,,,842,ENBREL,,,"Treats rheumatoid arthritis, psoriatic arthritis, juvenile idiopathic arthritis, ankylosing spondylitis, and plaque psoriasis.",21,2218805,38,,{},352083,636,,,,17632,Immune Suppressant,98,19,2187,2315431,,17632,113065,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010203/?report=details,2315431,317423,,66
