nonaccredited_cnt,investment_cnt,accredited_sum,meal_cnt,research_rank,nonaccredited_rank,speaking_sum,education_cnt,honoraria_cnt,grant_rank,consulting_rank,grant_sum,honoraria_rank,investment_rank,general_rank,meal_rank,royalty_rank,travel_sum,grant_cnt,royalty_cnt,investment_sum,honoraria_sum,id,facility_sum,entertainment_rank,entertainment_sum,gift_cnt,travel_cnt,charitable_sum,accredited_cnt,speaking_rank,research_sum,travel_rank,charitable_cnt,drugs,meal_sum,accredited_rank,cleanname,gift_sum,speaking_cnt,royalty_sum,general_cnt,consulting_cnt,education_rank,research_cnt,education_sum,nonaccredited_sum,facility_cnt,gift_rank,devices,entertainment_cnt,general_sum,consulting_sum,charitable_rank,facility_rank
,,,1411,106,,1208403,,,,81,,,,76,178,,82864,,,,,1014,,,,,351,,,39,800816,120,,{},49950,,"Acorda Therapeutics, Inc.",,291,,2116,63,,17,,,,,{},,1696736,355517,,
,,,13873,54,,578956,1173,,,119,,,,102,65,,9939,,,,,1015,,,,,5,,,60,2937314,347,,{},258929,,Actavis Pharma Inc.,,410,,15511,50,32,234,104414,,,,{},,1162291,210051,,
,,,7966,57,,668923,359,,126,79,12500,,,88,76,,215954,3,,,,1016,22700,,,,299,,,52,2798788,76,,{},217179,,"Actelion Pharmaceuticals Us, Inc.",,753,,9515,118,123,518,11723,,17,,{},,1518277,369296,,51
,,,478,265,,239675,18,,134,200,10000,,,159,181,32,111604,1,10,,,1017,46804,,,4,245,,,97,79960,103,,{},48593,,Acumed LLC,250,26,771808,860,78,206,2,1982,,10,153,{},,543375,84464,,29
,,,8,,,,,1,147,,5515,177,,782,643,,,1,,,994,1018,,,,,,,,,,,,{},519,,"Acute Innovations, LLC",,,,10,,,,,,,,{},,7028,,,
,,,485,,,,17,,,593,,,,25,224,,66849,,,,,1019,,25,1254,1929,335,,,,,134,,{},30465,,"A-dec, Inc.",8681689,,,2820,1,246,,676,,,1,{},53,8781235,300,,
,,,13,395,,101255,81,,128,218,12394,,,233,591,,21911,5,,,,1020,,,,,19,67516,,141,5675,253,35,{},885,,"Advanced Bionics, LLC",,8,,175,14,222,5,1240,,,,{},,276487,71285,9,
,,,30,348,,,,2,,593,,154,,799,516,,1105,,,,2250,1021,,,,,1,,,,15562,542,,{},1710,,Advanced Circulatory Systems Inc.,,,,40,7,,3,,,,,{},,5365,300,,
,,,33,,,,,,,,,,,898,549,,,,,,,1022,,,,,,,,,,,,{},1368,,"Advanced Critical Devices, Inc.",,,,33,,,,,,,,{},,1368,,,
,2,,,411,,30000,,,,,,,28,395,,,,,,64000,,1023,,,,,,,,213,1250,,,{},,,"Advanced Fusion, LLC",,6,,8,,,1,,,,,{},,94000,,,
,,,76,,,,,,,,,,,850,461,,,,,,,1024,,,,,,,,,,,,{},2784,,Advanced Medical Partners Inc.,,,,76,,,,,,,,{},,2784,,,
,,,13,354,,70,,,,272,,,,509,569,87,,,16,,,1025,,,,,,,,398,14625,,,{},1096,,"Advanced Orthopaedic Solutions, Inc.",,1,70435,29,15,,1,,,,,{},,48967,47800,,
,,,,,,,,,,,,,,980,,,,,,,,1026,,,,2,,,,,,,,{},,,Advandx Inc.,137,,,2,,,,,,,169,{},,137,,,
,,,1784,,,182596,18,,170,154,2500,,,183,174,,59347,1,,,,1027,,,,,127,5000,,111,,151,1,{},50920,,"Aegerion Pharmaceuticals, Inc.",,116,,2098,51,272,,286,,,,{},,437901,137250,55,
,,,614,170,,,,106,,421,,49,,336,235,,,,,,58000,1028,,,,97,,,,,272905,,,{},26164,,"Aerocrine, Inc.",35739,,,820,3,,5,,,,46,{},,135256,15352,,
,,,,,,,,,,,,,,716,,,,,,,,1029,,,,,,11800,,,,,2,{},,,Aero Med Ltd.,,,,2,,,,,,,,{},,11800,,38,
,,,17,,,,,,,,,,,808,501,55,2911,,9,,,1030,,,,,9,,,,,462,,{},1919,,Aesculap AG,,,299345,26,,,,,,,,{},,4831,,,
,,,4,,,4655,,,,,,,,697,623,,8157,,,,,1031,,,,,8,,,301,,370,,{},633,,Aesculap Akademie GmbH,,2,,14,,,,,,,,{},,13446,,,
,,,13,,,,,,,523,,,,700,527,,7641,,,,,1032,,,,,7,,,,,376,,{},1602,,"Aesculap Biologics, LLC",,,,21,1,,,,,,,{},,13243,4000,,
,,,333,378,,83709,4,,,134,,,,197,240,59,113750,,3,,,1033,5000,,,3,92,,,154,7892,101,,{},24683,,"Aesculap Implant Systems, LLC",498,20,272068,496,43,285,5,114,,1,141,{},,396125,168369,,105
,,,294,370,,,,,84,506,38000,,,415,359,,11483,6,,,,1034,1800,,,40,22,,,,10182,334,,{},7359,,"Aesculap, Inc.",22190,,,373,8,,5,,,3,51,{},,86383,5550,,137
,,,7,,,,,4,,,,141,,790,583,,2306,,,,3000,1035,,,,,5,,,,,480,,{},928,,"Afaxys, Inc.",,,,16,,,,,,,,{},,6235,,,
,,,,,,,,,,,,,,1003,,70,,,4,,,1036,,,,,,,,,,,,{},,,"Affordable Pharmaceuticals, LLC",,,159262,0,,,,,,,,{},,0,,,
,,,45,,,,,,,,,,,115,369,,628,,,,,1037,1600,47,215,36,1,87363,,,,574,11,{},6942,,Agfa Healthcare Corporation,943809,,,95,,,,,,1,4,{},1,1040559,,7,138
,,,42,166,,56042,,,,183,,,,324,557,,2171,,,,,1038,,,,,2,,,173,287918,487,,{},1255,,Akorn Inc.,,3,,52,5,,41,,,,,{},,156969,97500,,
,,,1460,,,,,,,,,,,381,125,,,,,,,1039,,,,,,,,,,,,{},103607,,"Akrimax Pharmaceuticals, LLC",,,,1460,,,,,,,,{},,103607,,,
,,,47823,,,3407896,689,,,15,,,,22,10,36,1529406,,17,,,1040,,,,,3173,,,18,,13,,{},1949363,,Alcon Laboratories Inc.,,4937,704919,57215,593,8,,584501,,,,{},,9435667,1964500,,
,,,339,55,,91535,68,,48,41,119759,,,99,237,,38050,39,,,,1041,,,,,49,,,150,2922134,197,,{},25623,,Alcon Research Ltd.,,78,,673,100,79,1513,28058,,,,{},,1220844,917818,,
,,,12,,,,,,,393,,,,640,500,,,,,,,1042,,,,,,,,,,,,{},1944,,"Alden Optical Laboratories, Inc.",,,,21,9,,,,,,,{},,21130,19185,,
,,,,,,,,,,208,,,,425,,,,,,,,1043,1200,,,,,,,,,,,{},,,"Alere Home Monitoring, Inc.",,,,5,4,,,,,1,,{},,81542,80342,,143
,,,,,,1500,,,,451,,,,690,,132,1521,,3,,,1044,,,,,2,,,355,,521,,{},,,"Alere Informatics, Inc.",,1,24999,7,4,,,,,,,{},,14080,11058,,
,,,,,,6520,,,,,,,,760,,,,,,,,1045,,19,1859,,,200,,281,,,1,{},,,"Alere North America, LLC",,4,,74,,,,,,,,{},69,8580,,94,
,,,,142,,49105,,,,233,,,,365,,,,,,,,1046,,,,,,,,180,450314,,,{},,,"Alere San Diego, Inc.",,3,,14,11,,25,,,,,{},,113233,64127,,
,,,4589,82,,583268,322,,78,85,44770,,,85,80,,330619,9,,,,1047,20075,,,,1058,,,59,1449842,55,,{},209498,,"Alexion Pharmaceuticals, Inc.",,364,,6532,172,111,163,14569,,18,,{},,1536922,334122,,55
,,,,145,,,,,,577,,,,919,,,,,,,,1048,,,,,,,,,398561,,,{},,,"Alexza Pharmaceuticals, Inc.",,,,2,2,,3,,,,,{},,840,840,,
,,,1258,212,,,,,,182,,,,300,239,137,7962,,10,,,1049,44349,,,,7,,,,155398,373,,{},24701,,Algeta Us LLC,,,22102,1286,14,,14,,,7,,{},,174983,97970,,31
,,,88,,,26000,,,,,,,,566,445,,2593,,,,,1050,,,,25,5,,,222,,470,,{},3207,,"Alk ABello, Inc.",3046,11,,129,,,,,,,103,{},,34847,,,
,,,2425,52,,111570,45,,81,171,40600,,,211,165,171,26347,2,1,,,1051,,,,,119,,,139,3011521,235,,{},60289,,"Alkermes, Inc.",,92,5000,2708,25,265,248,434,,,,{},,351543,112301,,
,,,1,386,,,,,,544,,,,722,785,,8637,,,,,1052,,,,,9,,,,7091,359,,{},44,,Allerderm  Laboratories,,,,11,1,,3,,,,,{},,11181,2500,,
,,,98890,22,,1279519,2714,,3,3,2530540,,,5,6,7,1754476,30,7,,,1053,,,,,6090,620,,38,16594694,6,8,{},2706512,,Allergan Inc.,,125,8655714,110676,2819,26,4643,163986,,,,{},,15546804,7111149,80,
,,,8,,,,1,,,268,,,,493,451,,2700,,,,,1054,,,,,3,,,,,468,,{},3000,,Alliance Partners LLC,,,,22,10,214,,1500,,,,{},,56950,49750,,
,,,24,,,,,,,,,,,905,563,,,,,,,1055,,,,,,,,,,,,{},1169,,Alliqua Biomedical Inc.,,,,24,,,,,,,,{},,1169,,,
,,,40,,,,,,,,,,,927,600,,,,,,,1056,,,,,,,,,,,,{},770,,Allosource,,,,40,,,,,,,,{},,770,,,
,,,,,,,,,,,,,,1003,,,,,,,,1057,,,,,,,,,,,,{},,,"Allotech, LLC",,,,0,,,,,,,,{},,0,,,
,,,69,,,,35,,,,,,,747,469,,2271,,,,,1058,,,,,10,,,,,481,,{},2596,,Alpha Orthopedic Systems,,,,114,,167,,4395,,,,{},,9263,,,
,,,186,180,,152600,1,,,111,,,,171,281,21,60425,,124,,,1059,,,,1,81,,,123,234149,144,,{},16058,,"Alphatec Spine, Inc.",1000,34,2043880,372,69,88,69,25000,,,126,{},,489233,234149,,
,7,,,,,,,,,,,,25,460,,,,,,70000,,1060,,,,,,,,,,,,{},,,"Alpine Implant Alliance, LLC",,,,7,,,,,,,,{},,70000,,,
,3,,,,,,,,,,,,58,824,,,,,,3975,,1061,,,,,,,,,,,,{},,,"Alpine Surgical Technologies, LLC",,,,3,,,,,,,,{},,3975,,,
,,174500,259,,,6368,2,,,499,,,,257,322,,28569,,,,,1062,,67,42,,55,,23,283,,230,,{},9975,10,Altatec GmbH,,19,,360,1,207,,1960,,,,{},1,227665,6250,,
,,,1027,341,,22730,,,122,160,13849,,,274,264,,18552,1,,,,1063,,,,,47,,,228,18956,273,,{},19515,,"Amag Pharmaceuticals, Inc.",,36,,1144,33,,5,,,,,{},,204498,129850,,
4,,,8333,73,34,,33,470,,139,,3,,80,70,,74147,,,,1119750,1064,,,,,155,,,,1903736,129,,{},242432,,Amarin Pharma Inc.,,,,9025,30,194,243,2802,10800,,,{},,1611083,161150,,
,,25750,12,,,3000,,,,,,,,583,613,187,,,1,,,1065,,,,4,,,36,323,,,,{},689,18,Amd Lasers LLC,1710,1,850,53,,,,,,,115,{},,31149,,,
,,,92,,,5000,,,,257,,,,444,347,48,8589,,34,,,1066,,,,,5,,,295,,361,,{},8025,,Amedica Corporation,,1,373636,118,20,,,,,,,{},,75189,53575,,
,,,,,,,,,,,,,,1003,,,,,,,,1067,,,,,,,,,,,,{},,,Amedra Pharmaceuticals LLC,,,,0,,,,,,,,{},,0,,,
,,,,,,,,,,,,,,800,,,,,,,,1068,,,,46,,,,,,,,{},,,"American Medical Hospital Supply Company, Inc.",5237,,,46,,,,,,,91,{},,5237,,,
124,,,5813,230,6,561862,2,,58,291,75000,,,74,66,71,440052,1,3,,,1069,2000,,,,1753,,,64,128043,44,,{},251147,,American Medical Systems Inc.,,147,150281,7875,34,307,102,13,389200,1,,{},,1759363,40087,,133
,,,,,,,,,,,,,,907,,,,,,,,1070,,36,602,1,,401,,,,,1,{},,,American Medical Technology Inc.,130,,,3,,,,,,,171,{},1,1133,,87,
2,,,63895,17,52,5449528,901,,,23,,,,21,25,102,844382,,2,,,1071,80820,,,,2983,168120,,10,21061168,30,9,{},1207913,,Amgen Inc.,,1746,55000,70213,441,14,15907,345163,3100,236,,{},,9489438,1390409,5,19
,,,,288,,,,,,,,,,1003,,,,,,,,1072,,,,,,,,,51414,,,{},,,"Amphastar Pharmaceuticals, Inc.",,,,0,,,4,,,,,{},,0,,,
,,,,216,,,,,,,,,,1003,,,,,,,,1073,,,,,,,,,150180,,,{},,,"Anaeropahrma Science, Inc.",,,,0,,,1,,,,,{},,0,,,
,,,39,,,,,,,585,,,,852,578,,1259,,,,,1074,,,,,2,,,,,536,,{},981,,Analogic Corporation,,,,42,1,,,,,,,{},,2740,500,,
,,,1894,397,,176799,11,13,,300,,76,,191,151,66,63470,,12,,22905,1075,5000,,,,94,,,113,5000,140,,{},73564,,"Angiodynamics, Inc.",,8,213029,2033,9,80,1,27832,,4,,{},,407439,37868,,105
,,,1552,,,97186,,,,,,,,305,158,,,,,,,1076,8500,,,,,,,145,,,,{},66098,,"Angioscore, Inc.",,46,,1603,,,,,,5,,{},,171784,,,88
,,,14,,,11484,,,,544,,,,683,604,,,,,,,1077,,,,,,,,256,,,,{},744,,"Anika Therapeutics, Inc.",,10,,25,1,,,,,,,{},,14729,2500,,
,,,1820,190,,250,25,,,271,,,,422,234,,306,,,,,1078,7500,,,,1,,,391,203145,598,,{},26341,,Animas Corporation,,1,,1978,122,276,2,230,,9,,{},,82702,48075,,94
,,,,195,,,,,,,,,,1003,,,,,,,,1079,,,,,,,,,196847,,,{},,,Ansell Healthcare Products LLC,,,,0,,,9,,,,,{},,0,,,
,,,33,,,,80,,,,,,,581,582,,5163,,,,,1080,,,,,14,,,,,411,,{},935,,"Apollo Surgical Group, LLC",,,,127,,87,,25353,,,,{},,31452,,,
,,,40,268,,,,,74,388,50600,,,417,534,,13930,3,,,,1081,,,,,9,,,,77443,317,,{},1515,,Apo Pharma Inc.,,,,60,8,,4,,,,,{},,85488,19442,,
,,,147,,,3007,115,31,,,,35,,284,419,,21696,,,,95500,1082,38456,,,,35,,,322,,255,,{},4104,,Applied Medical Corporation,,2,,337,,77,,28750,,7,,{},,191515,,,42
,,,13,,,2818,,,,,,,,772,649,,2253,,,,,1083,2250,,,,11,,,331,,482,,{},454,,Applied Medical Technology Inc.,,6,,34,,,,,,4,,{},,7776,,,130
,,,46,346,,205217,5433,,189,75,500,,,132,385,,14751,1,,,,1084,,,,,63,2500,,108,16527,305,1,{},5637,,"Aptalis Pharma Us, Inc.",,7466,,13038,28,29,35,133302,,,,{},,772072,410163,67,
2,1,2000,1,,30,18000,,,,,,,13,276,782,,4065,,,160020,,1085,,,,,4,200,1,236,,430,1,{},46,42,"Aptis Medical, LLC",,2,,12,,,,,16000,,,{},,200332,,94,
,,,,,,,,,,,,,,1003,,,,,,,,1086,,,,,,,,,,,,{},,,"Aquesys, Inc.",,,,0,,,,,,,,{},,0,,,
,,,3446,,,,,39,,553,,43,,309,164,,36788,,,,68500,1087,,,,,107,,,,,201,,{},60650,,"Arbor Pharmaceuticals, Inc.",,,,3668,76,,,,,,,{},,168201,2261,,
,,,488,323,,,4,,,,,,,611,272,,,,,,,1088,,,,,,,,,25000,,,{},17781,,"Argon Medical Devices, Inc.",,,,492,,137,1,8595,,,,{},,26376,,,
,,,1180,71,,216725,43,,148,205,5500,,,199,227,141,49824,2,2,,,1089,3150,,,4,110,,,103,1941318,173,,{},28511,,"Ariad Pharmaceuticals, Inc.",5684,42,20000,1409,25,245,321,688,,3,87,{},,391802,81718,,119
,,,,,,4000,1,,,,,,,820,,,,,,,,1090,,,,,,,,305,,,,{},,,Aribex Inc.,,1,,2,,306,,15,,,,{},,4015,,,
,,,83,369,,,,5,,,,112,,740,490,,,,,,7709,1091,,,,,,,,,10404,,,{},2171,,"Ariosa Diagnostics, Inc.",,,,88,,,1,,,,,{},,9881,,,
,75,,,,,,,,,,,,26,464,,,,,,66463,,1092,,,,,,,,,,,,{},,,Arizona Cryosurgical Partnership LP,,,,75,,,,,,,,{},,66463,,,
,,,95,,,,,,,,,,,809,407,,,,,,,1093,,,,,,,,,,,,{},4756,,"Arjohuntleigh, Inc.",,,,95,,,,,,,,{},,4756,,,
,,,10,334,,,,,,,,,,897,629,,802,,,,,1094,,,,,2,,,,22950,568,,{},575,,"Arrow International, Inc.",,,,12,,,1,,,,,{},,1378,,,
,2,,,,,,,,,,,,5,205,,,,,,365325,,1095,,,,,,,,,,,,{},,,"Ars Medical, LLC",,,,2,,,,,,,,{},,365325,,,
,,,8,,,,,1,,,,179,,783,607,172,418,,1,,800,1096,,,,26,1,,,,,589,,{},717,,Art Optical Contact Lens Inc.,4982,,4861,36,,,,,,,92,{},,6917,,,
,,,34,,,,,,,216,,,,446,480,,,,,,,1097,,,,,,,,,,,,{},2367,,"Arteriocyte Medical Systems, Inc.",,,,53,19,,,,,,,{},,74630,72262,,
,,,1295,153,,2939339,1037,,,45,,,,33,128,5,414071,,365,,,1098,,,,,1107,,,22,369230,45,,{},98821,,"Arthrex, Inc.",,730,12716649,4601,432,3,33,1891411,,,,{},,6111161,767518,,
,,,729,303,,7859,,,,103,,,,207,201,109,53442,,6,,,1099,5000,,,,232,,,277,35388,167,,{},37067,,Arthrocare Corporation,,1,44794,1021,58,,13,,,1,,{},,362997,259628,,105
,,,434,404,,,5,1,,,,164,,590,300,97,14762,,9,,1500,1100,,,,,21,,,,2850,304,,{},13306,,Arthrosurface Inc.orporated,,,63409,461,,264,1,437,,,,{},,30006,,,
,,,54,,,,,11,,,,50,,438,393,,16061,,,,56000,1101,,,,,15,,,,,298,,{},5149,,"Asahi Intecc USA, Inc.",,,,80,,,,,,,,{},,77210,,,
,,,1007,376,,12400,,,,424,,,,516,296,,,,,,,1102,,,,2152,,,,251,8250,,,{},13845,,"Ascend Therapeutics Us, LLC",5624,13,,3177,5,,2,,,,88,{},,46870,15000,,
,,,113,159,,,,,,212,,,,368,318,,26310,,,,,1103,,,,,160,,,,330389,236,,{},10226,,"Ascension Orthopedics, Inc.",,,,284,11,,22,,,,,{},,111667,75130,,
,,,,,,9765,,,,,,,,742,,,,,,,,1104,,,,,,,,264,,,,{},,,"Aseptico, Inc.",,2,,2,,,,,,,,{},,9765,,,
,,,51,128,,,,,,472,,,,506,392,,36910,,,,,1105,,,,,69,,,,569163,200,,{},5197,,Astellas Pharma Europe Bv,,,,123,3,,21,,,,,{},,50783,8674,,
,,,6,70,,139255,,,,98,,,,182,674,,22740,,,,,1106,,,,,10,,,127,1942643,249,,{},342,,Astellas Pharma Global Development,,42,,104,46,,128,,,,,{},,440457,278120,,
,,,9,110,,,,,,264,,,,388,586,176,46082,,1,,,1107,,,,2,8,,,,740780,178,,{},914,,Astellas Pharma Inc.,128,,4000,38,19,,140,,,,172,{},,97214,50088,,
,,,61563,,,1372412,3815,,,109,,,,48,27,,272262,,,,,1108,121674,,,,636,,,34,,63,,{},1176219,,Astellas Pharma Us Inc.,,847,,67032,83,19,,278213,,88,,{},,3460212,239430,,10
,,,121,26,,,12,,,317,,,,544,384,,,,,,,1109,,,,,,,,,12308689,,,{},5769,,Astellas Scientific and Medical Affairs,,,,137,4,257,281,502,,,,{},,40572,34300,,
,,,,133,,,,,,,,,,1003,,,,,,,,1110,,,,,,,,,527628,,,{},,,Astellas Us Technologies,,,,0,,,127,,,,,{},,0,,,
20,,,204547,8,14,11207389,4595,,29,26,266228,,,3,2,175,1718921,48,7,,,1111,,,,3,6497,28700,,2,47386943,7,12,{},4160634,,Astrazeneca Pharmaceuticals LP,1020,6165,4207,222204,317,16,2259,311413,58500,,124,{},,19099186,1346379,19,
,,,76,,,,,,148,,5500,,,764,454,,,2,,,,1112,,,,,,,,,,,,{},2929,,"Asuragen, Inc.",,,,78,,,,,,,,{},,8429,,,
,170,,,,,,,,,,,,18,383,,,,,,103054,,1113,,,,,,,,,,,,{},,,Atlantic Coast Cryotherapy LP,,,,170,,,,,,,,{},,103054,,,
,,,1,,,,,,,585,,,,940,757,,,,,,,1114,,,,,,,,,,,,{},107,,"Atlas Spine, Inc.",,,,2,1,,,,,,,{},,607,500,,
,,,39,,,,,,,,,,,910,568,,,,,,,1115,,,,,,,,,,,,{},1102,,Atos Medical Inc.,,,,39,,,,,,,,{},,1102,,,
,,,32,,,4265,,,197,,12,,,781,460,,,1,,,,1116,,,,,,,,303,,,,{},2807,,Atossa Genetics Inc.,,5,,38,,,,,,,,{},,7085,,,
,,,,148,,,,,,,,,,1003,,,,,,,,1117,,,,,,,,,386503,,,{},,,"Atricure, Inc.",,,,0,,,58,,,,,{},,0,,,
,,,1704,223,,37900,,,,295,,,,307,150,,16825,,,,,1118,,,,,57,,,197,137829,293,,{},77286,,Atrium Medical Corporation,,12,,1788,15,,42,,,,,{},,170861,38850,,
,,,22972,79,,758678,,,,365,,,,66,22,,,,,,,1119,,,,,,,,48,1564794,,,{},1278289,,"Auxilium Pharmaceuticals, Inc.",,598,,23642,72,,1090,,,,,{},,2059358,22390,,
,,,8040,130,,899522,,,,74,,,,72,64,41,268866,,2,,,1120,,,,,1207,,,45,543001,65,,{},262320,,"Avanir Pharmaceuticals, Inc.",,710,550913,10318,361,,122,,,,,{},,1852494,421785,,
,,,761,263,,,,,,308,,,,412,179,,1681,,,,,1121,,,,,3,,,,86679,505,,{},49445,,Avinger Inc.,,,,785,21,,17,,,,,{},,86709,35582,,
,,,859,,,,,16,,,,128,,626,263,,,,,,4350,1122,,,,,,,,,,,,{},19545,,Avion Pharmaceuticals,,,,875,,,,,,,,{},,23895,,,
,,,611,270,,1545,60,3,92,167,30997,99,,249,222,,53822,2,,,10000,1123,,,,,204,,,354,69071,165,,{},30697,,Axogen,,3,,949,66,193,31,2853,,,,{},,246111,116195,,
,,,96,178,,,,,168,564,2923,,,614,496,,7071,2,,,,1124,11000,,,3,10,,,,241472,388,,{},2076,,B. Braun Interventional Systems Inc.,1005,,,114,1,,25,,,2,125,{},,25577,1500,,72
,,,95,260,,,5,,143,386,6000,,,473,448,92,1666,2,3,,,1125,12450,,,8,3,19000,,,89824,507,6,{},3142,,B. Braun Medical Inc.,1115,,65761,133,6,251,9,557,,8,123,{},,63457,19525,28,70
,,,1,,,4000,,,,,,,,813,792,,352,,,,,1126,,,,,1,,,305,,594,,{},30,,B. Braun Surgical SA,,2,,4,,,,,,,,{},,4382,,,
,5,,128,371,,6050,,,,287,,,29,357,383,,3756,,,59292,,1127,,,,,10,,,287,10000,439,,{},5823,,Bacterin International Inc.,,3,,154,8,,1,,,,,{},,117972,43050,,
,,,,,,,,,,,,,,987,,,,,,,,1128,,,,2,,,,,,,,{},,,Banyan International Corporation,107,,,2,,,,,,,175,{},,107,,,
,,,,58,,,,,,,,,,1003,,,,,,,,1129,,,,,,,,,2717939,,,{},,,Bausch and Lomb Inc.,,,,0,,,344,,,,,{},,0,,,
55,,2148,934,314,10,24523,22,,,144,,,,179,176,64,105479,,6,,,1130,,42,312,,274,,1,225,28356,107,,{},50338,41,"Baxano Surgical, Inc.",,6,220698,1441,135,209,9,1888,118250,,,{},14,449120,146180,,
,,,7623,46,,15400,409,,,21,,,,57,79,,188145,,,,,1131,,,,,549,,,242,3747001,78,,{},213632,,Baxter Healthcare,,12,,10492,1899,7,375,633836,,,,{},,2725997,1674983,,
,,,25222,32,,2523087,924,,22,32,373493,,,35,40,49,531790,22,6,,,1132,23918,,,,1455,,,25,7221255,38,,{},575449,,Bayer Healthcare LLC,,1346,358668,29363,375,196,1159,2592,,19,,{},,5194754,1164422,,49
,,,,,,,,1,,,,143,,849,,,,,,,2798,1133,,,,,,,,,,,,{},,,Baylis Medical Company Inc.,,,,1,,,,,,,,{},,2798,,,
,,,2,,,,,,,,,,,1001,795,,,,,,,1134,,,,,,,,,,,,{},22,,Bd Rx Inc.,,,,2,,,,,,,,{},,22,,,
,,,39,,,2000,,,,580,,,,714,482,,6976,,,,,1135,,,,,21,,,340,,390,,{},2337,,Beacon Endoscopic Corporation,,2,,63,1,,,,,,,{},,12063,750,,
,,,32,382,,,2,,,366,,,,603,521,,3152,,,,,1136,,,,,4,,,,7400,457,,{},1641,,"Beaver Visitec International, Inc.",,,,45,7,234,3,930,,,,{},,28074,22350,,
,,,73,,,,,,196,,161,,,668,309,185,4796,2,2,,,1137,,,,,18,,,,,417,,{},11415,,"Beckman Coulter, Inc.",,,973,93,,,,,,,,{},,16372,,,
,,,1414,96,,11036,,5,170,110,2500,107,,194,207,19,34659,1,74,,8700,1138,15245,,,18,71,20290,,258,1066934,206,7,{},34974,,"Becton, Dickinson and Company",32196,39,2318108,1680,112,,62,,,13,47,{},,398190,238590,26,63
,,,,,,,,,,501,,,,707,,,,,,,,1139,,,,15,,,,,,,,{},,,Belmont Instrument Corporation,6698,,,16,1,,,,,,83,{},,12698,6000,,
,,,,,,,,,,487,,,,774,,,,,,,,1140,,,,,,,,,,,,{},,,"Ben Venue Laboratories, Inc.",,,,2,2,,,,,,,{},,7500,7500,,
